ELSI Export,,,,,,,
,,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,,
,,,,,,,
State Dropout Rate by Race/Ethnicity 2009-10,,,,,,,
,,,,,,,
State Name,Grades 9-12 Dropout Rate - Amer. Indian/Alaska Native,Grades 9-12 Dropout Rate - Asian/Pacific Islander,Grades 9-12 Dropout Rate - Black,Grades 9-12 Dropout Rate - Hispanic,Grades 9-12 Dropout Rate - White,Grades 9-12 Dropout Rate - Hawaiian Nat./Pacific Isl.,Grades 9-12 Dropout Rate - Two or More Races
ALABAMA,1.3,1.4,2,0.9,1.6,†,†
ALASKA,11.6,3.5,6.4,6.1,5.1,9.2,9.6
AMERICAN SAMOA,–,–,–,–,–,–,–
ARIZONA,14.6,4.9,8.8,8.1,6.8,†,†
ARKANSAS,4.9,1.4,5,4.1,3.1,4.5,3.1
BUREAU OF INDIAN EDUCATION,–,–,–,–,–,–,–
CALIFORNIA,6.5,1.8,8.4,5.8,2.8,5,5
COLORADO,10.1,2.4,8.6,9.9,3.2,†,†
CONNECTICUT,3,1.1,6.8,6.9,1.4,†,†
DELAWARE,10.3,3.2,4.9,4.7,3.1,†,†
DISTRICT OF COLUMBIA,0,5.4,6.9,8.3,4.9,†,†
DODEA (OVERSEAS AND DOMESTIC),–,–,–,–,–,–,–
FLORIDA,2.7,0.8,3.5,2.8,1.6,†,†
GEORGIA,4.2,1.5,4.6,4.3,3.1,4.3,3.4
GUAM,–,–,–,–,–,–,–
HAWAII,9,4.7,7.9,5.9,6.4,†,†
IDAHO,2.5,1.2,1.9,2.2,1.2,†,†
ILLINOIS,3,0.9,5.7,3.8,1.8,†,†
INDIANA,2.2,1.1,3.1,2.4,1.3,†,†
IOWA,8.9,2,9.1,6.9,2.8,3.8,4.9
KANSAS,4.1,0.4,3.7,2.9,1.8,4.2,2
KENTUCKY,1.9,2,5.5,5.6,2.9,†,†
LOUISIANA,4.8,2,6.8,3.9,3.2,†,†
MAINE,8.6,3.8,4.9,5,4.2,†,†
MARYLAND,3.2,0.9,3.4,4.2,2,†,†
MASSACHUSETTS,3.3,1.6,5,7.3,1.7,5.6,3.1
MICHIGAN,5.4,3.1,9.2,6.2,2.7,†,†
MINNESOTA,5.7,1.6,3.9,4.2,1,†,†
MISSISSIPPI,4.6,2.9,9.3,5.9,5.6,0,0
MISSOURI,3,1.5,8.4,4.1,2.4,†,†
MONTANA,10.3,2,7,6.2,3.5,†,†
NEBRASKA,7,1.8,4.1,4,1.6,†,†
NEVADA,4.7,3.1,6.5,5.4,3.4,†,†
NEW HAMPSHIRE,1.5,1.1,1.6,2.9,1.1,0,1
NEW JERSEY,1.5,0.4,3.5,2.8,0.9,0.9,3.4
NEW MEXICO,8.8,4.6,9,7.2,5.3,0,4.7
NEW YORK,5.6,2.4,6.5,5.9,1.7,†,†
NORTH CAROLINA,6.1,2,5.4,6.1,4,†,†
NORTH DAKOTA,7.5,0.9,2.6,3.5,1.7,†,†
NORTHERN MARIANAS,–,–,–,–,–,–,–
OHIO,7.8,1.4,9.4,7.4,2.8,†,†
OKLAHOMA,2.5,1.1,3.3,3.5,2.1,†,†
OREGON,6.7,1.4,6.2,4.7,2.9,†,†
PENNSYLVANIA,2.2,1.3,3.7,5.1,1.5,†,†
PUERTO RICO,‡,‡,‡,‡,‡,†,†
RHODE ISLAND,8.5,4.5,6.6,6.8,3.8,†,†
SOUTH CAROLINA,5.6,1.3,3.3,3.6,2.7,†,†
SOUTH DAKOTA,10.5,2.7,3.4,5.2,1.6,†,†
TENNESSEE,2.7,1.2,4.9,3.3,1.8,†,†
TEXAS,3.6,0.5,4.2,3.6,1.2,†,†
UTAH,5.7,2.8,3.8,5.5,2.1,†,†
VERMONT,0,2.1,1.5,2.6,2.4,0,4.1
VIRGIN ISLANDS,0,0,5.3,7.4,0,†,†
VIRGINIA,1.6,1.2,3,4.6,1.4,†,†
WASHINGTON,8.2,3,6.1,5.8,3.6,†,†
WEST VIRGINIA,3.6,0.5,4.6,4.6,4,0,1.9
WISCONSIN,5.2,1.6,7.5,4.7,1.2,†,†
WYOMING,20.8,1.9,13.1,0,5,0,94.9
